title,city_location,block_sector,bedroom,bathroom,sqrtFeet,price
Valuable 1970 Square Feet Apartment For Sale In Bashundhara R/A,2,39,3,4,1970,16.860033043306743
Property For Sale In Mohammadpur – 1450 Sq Ft Apartment,7,37,3,3,1450,16.300417291085605
"Plan To Move In This 1350 Sq Ft Flat Which Is For Sale In Block K, Bashundhara R/A",2,44,3,3,1350,16.300417291085605
This 1872 Sq.Ft Flat In Bijoy Rakeen City With A Convenient Price Is Up For Sale,4,63,3,3,1872,16.41820031748273
1695 Square Feet Suitable Flat Is Available For Sale In Bashundhara R-a,2,49,3,3,1695,16.61887099947687
"Take A Look At This 1300 Sq Ft Well Defined Flat Which Is Up For Sale In Section 2, M...",4,38,3,3,1300,16.166885910365842
Buy This 1309 Sq Ft Ready Flat In Uttara-10,3,31,3,3,1309,16.300417291085605
"1225 Sq Ft Apartment Is Ready For Sale In Mirpur, Kallyanpur",4,33,3,3,1225,15.894952224644102
"Smartly priced 1553 SQ FT flat, that you should check in Kallyanpur",4,33,3,3,1553,16.034714150714915
Worthy 925 Sq Ft Residence Is For Sale At Banasree,6,49,2,2,925,15.732433317205148
Buy This 1200 Sq Ft Apartment In The Nice Area Of Mirpur,4,27,3,3,1200,15.607270193858982
Modest 1200 Sq Ft Residential Apartment For Sale In North Adabor,10,75,3,3,1200,16.007164201982874
"Looking For A New Place? Try Us, As We Have This 970 Sq Ft Apartment Ready For Sale A...",4,9,2,2,970,15.38412668421143
"1100 Sq Ft Apartment Is For Sale In Mirpur, Section 1",4,9,3,2,1100,15.671808704579888
At Mirpur DOHS 1045 Square feet flat is available to Sale close to Mirpur DOHS Centra...,4,5,3,2,1045,16.213405921671733
"Offering You 650 Sq Ft Flat For Sale In Mirpur, Rupnagar R/a.",4,35,2,2,650,14.978661680269907
Your Desired Large 2 Bedroom Home In Rajanigandha Residential Area Is Now Vacant For ...,4,63,2,2,1015,15.687312888712007
1850 Sq Feet Residential Apartment For Sale In Uttara,3,7,3,4,1850,16.588099342704055
"Covering 2150 Sq Ft Flat Is Ready To Sale In Block K, Bashundhara R-A",2,44,3,4,2105,16.785925074816024
1250 Sq Ft Flat For Sale In Pallabi Near Baitul Ibada Mosjid,4,10,3,3,1250,15.520258832020865
"A Nice 955 Square Feet House Is Available For Sale At South Pirerbag, With An Afforda...",4,45,3,2,955,15.424948670398354
